ID	TOKENS	CONCEPT	ALIGNMENT	IPA	COUNTERPART	COGID	DOCULECT	NOTE	STRUCTURE	BORROWING
870	j øː x t	*jugunθiz	j øː x - - t ( - - )	jøːxt	jeugd	239	Dutch			
871	θ w e n g a n a n	*θwenganan	θ w e n g a n ( a n )	θwenganan	*θwenganan	240	Proto-Germanic			
872	ts v ɪ ŋ ə n	*θwenganan	ts v ɪ ŋ - ə n ( - - )	t͡svɪŋən	zwingen	240	German			
873	d ʋ ɪ ŋ ə	*θwenganan	d ʋ ɪ ŋ - ə - ( - - )	dʋɪŋə	dwingen	240	Dutch			
874	r e g n a + b u g oː n	*regna-bugōn	r e g - ( n a   b u g oː n )	regna+bugoːn	*regna-bugōn	241	Proto-Germanic			
875	r eː ɡ ə n b oː ɡ ə n	*regna-bugōn	r eː ɡ ə ( n -   b oː ɡ ə n )	reːɡənboːɡən	Regenbogen	241	German	DUP		
876	r eɪ n b əʊ	*regna-bugōn	r eɪ - - ( n -   b əʊ - - - )	reɪnbəʊ	rainbow	241	English			
877	r eː ɣ ə m b oː x	*regna-bugōn	r eː ɣ ə ( m -   b oː x - - )	reːɣəmboːx	regenboog	241	Dutch			
878	k r u pː a z	*kruppaz	k r u pː ( a z )	kruppaz	*kruppaz	242	Proto-Germanic		C C V C	
879	k r ɔ pf	*kruppaz	k r ɔ pf ( - - )	krɔp͡f	Kropf	242	German			
880	k r ɔ p	*kruppaz	k r ɔ p ( - - )	krɔp	crop	242	English			
881	k r ɔ p	*kruppaz	k r ɔ p ( - - )	krɔp	krop	242	Dutch			
882	d r eu p a n a n	*dreupanan	d r eu p a n ( a n )	dreupanan	*dreupanan	243	Proto-Germanic		C C V c v c	
883	t r iː f ə n	*dreupanan	t r iː f ə n ( - - )	triːfən	triefen	243	German			
884	d r œy p ə	*dreupanan	d r œy p ə - ( - - )	drœypə	druipen	243	Dutch			
885	f oː d r a n	*fōdran	f oː d - r ( a n )	foːdran	*fōdran	244	Proto-Germanic		C V C - C	
886	f ʊ t ə r	*fōdran	f ʊ t ə r ( - - )	fʊtər	Futter	244	German			
887	f ɔ d ə r	*fōdran	f ɔ d ə r ( - - )	fɔdər	fodder	244	English			
888	v uː r	*fōdran	v uː - - r ( - - )	vuːr	voer	244	Dutch			
889	l u n gʷ a n	*lungwan	l u n gʷ ( a n )	lungwan	*lungwan	245	Proto-Germanic		C V C C	
890	l ʊ ŋ ə	*lungwan	l ʊ ŋ - ( ə - )	lʊŋə	Lunge	245	German			
891	l ʌ ŋ	*lungwan	l ʌ ŋ - ( - - )	lʌŋ	lung	245	English			
892	l ɔ ŋ	*lungwan	l ɔ ŋ - ( - - )	lɔŋ	long	245	Dutch			
893	d e l j a z	*deljaz	d e l ( j a z )	deljaz	*deljaz	246	Proto-Germanic		C V C	
894	d/t ɪ l	*deljaz	d/t ɪ l ( - - - )	dɪl	Dill	246	German	BOR		Low German
895	d ɪ l	*deljaz	d ɪ l ( - - - )	dɪl	dill	246	English			
896	d ɪ l ə	*deljaz	d ɪ l ( - ə - )	dɪlə	dille	246	Dutch			
897	w e n d a n a n	*wendanan	w e n d a n ( a n )	wendanan	*wendanan	247	Proto-Germanic			
898	v ɪ n d ə n	*wendanan	v ɪ n d ə n ( - - )	vɪndən	winden	247	German			
899	ʋ ɪ n d	*wendanan	ʋ ɪ n d - - ( - - )	ʋɪnd	wind	247	English			
900	ʋ ɪ n d ə	*wendanan	ʋ ɪ n d ə - ( - - )	ʋɪndə	winden	247	Dutch			
901	l ai m oː n	*laimōn	l ai m ( oː n )	laimoːn	*laimōn	248	Proto-Germanic		C V C	
902	l eː m	*laimōn	l eː m ( - - )	leːm	Lehm	248	German			
903	l əʊ m	*laimōn	l əʊ m ( - - )	ləʊm	loam	248	English			
904	l eː m	*laimōn	l eː m ( - - )	leːm	leem	248	Dutch			
905	k n e w a n	*knewan	k n e ( w a n )	knewan	*knewan	249	Proto-Germanic		C C V	
906	k n iː	*knewan	k n iː ( - - - )	kniː	Knie	249	German			
907	n iː	*knewan	- n iː ( - - - )	niː	knee	249	English			
908	k n iː	*knewan	k n iː ( - - - )	kniː	knie	249	Dutch			
909	f a d eː r	*fadēr	f a d eː r	fadeːr	*fadēr	250	Proto-Germanic		C V c v c	
910	f aː t ə r	*fadēr	f aː t ə r	faːtər	Vater	250	German			
911	f ɑː ð ə r	*fadēr	f ɑː ð ə r	fɑːðər	father	250	English			
912	v aː d ə r	*fadēr	v aː d ə r	vaːdər	vader	250	Dutch			
913	m a g a θ i z	*magaθiz	m a g a θ ( i z )	magaθiz	*magaθiz	251	Proto-Germanic		C V c v c	
914	m aː g d	*magaθiz	m aː g - d ( - - )	maːkt	Magd	251	German			
915	m aː x t	*magaθiz	m aː x - t ( - - )	maːxt	maagd	251	Dutch			
916	r eː m a z	*rēmaz	r eː m ( a z )	reːmaz	*rēmaz	252	Proto-Germanic			
917	r aː m	*rēmaz	r aː m ( - - )	raːm	Rahm	252	German			
918	r oː m	*rēmaz	r oː m ( - - )	roːm	room	252	Dutch			
919	l eː t a n a n	*lētanan	l eː t a n ( a n )	leːtanan	*lētanan	253	Proto-Germanic		C V c v c	
920	l a s ə n	*lētanan	l a s ə n ( - - )	lasən	lassen	253	German			
921	l ɛ t	*lētanan	l ɛ t - - ( - - )	lɛt	let	253	English			
922	l aː t ə	*lētanan	l aː t ə - ( - - )	laːtə	laten	253	Dutch			
923	f r eu s a n a n	*freusanan	f r eu s a n ( a n )	freusanan	*freusanan	254	Proto-Germanic		C C V c v c	
924	f r iː r ə n	*freusanan	f r iː r ə n ( - - )	friːrən	frieren	254	German			
925	f r iː z	*freusanan	f r iː z - - ( - - )	friːz	freeze	254	English			
926	v r iː z ə	*freusanan	v r iː z ə - ( - - )	vriːzə	vriezen	254	Dutch			
927	b eu g a n a n	*beuganan	b eu g a n ( a n )	beuganan	*beuganan	255	Proto-Germanic		C V c v c	
928	b iː ɡ ə n	*beuganan	b iː ɡ ə n ( - - )	biːɡən	biegen	255	German			
929	b əʊ	*beuganan	b əʊ - - - ( - - )	bəʊ	bow	255	English			
930	b œy ɣ ə	*beuganan	b œy ɣ ə - ( - - )	bœyɣə	buigen	255	Dutch			
931	b l i k a n	*blikan	b l i k ( a n )	blikan	*blikan	256	Proto-Germanic		CC V C	
932	b l ɛ x	*blikan	b l ɛ x ( - - )	blɛx	Blech	256	German			
933	b l ɪ k	*blikan	b l ɪ k ( - - )	blɪk	blik	256	Dutch			
934	b oː k z	*bōkz	b oː k ( z )	boːkz	*bōkz	257	Proto-Germanic		C V C	
935	b uː x	*bōkz	b uː x ( - )	buːx	Buch	257	German			
936	b ʊ k	*bōkz	b ʊ k ( - )	bʊk	book	257	English			
937	b uː k	*bōkz	b uː k ( - )	buːk	boek	257	Dutch			
938	s e g l a n	*seglan	s e g - l ( a n )	seglan	*seglan	258	Proto-Germanic			
939	z eː ɡ ə l	*seglan	z eː ɡ ə l ( - - )	zeːɡəl	Segel	258	German			
940	s eɪ l	*seglan	s eɪ - - l ( - - )	seɪl	sail	258	English			
941	z ɛɪ l	*seglan	z ɛɪ - - l ( - - )	zɛɪl	zeil	258	Dutch			
942	l iː n a n	*līnan	l iː n ( a n )	liːnan	*līnan	259	Proto-Germanic		C V C	
943	l ai n ə	*līnan	l ai n ( ə - )	lainə	Leine	259	German			
944	l aɪ n	*līnan	l aɪ n ( - - )	laɪn	line	259	English			
945	l ɛɪ n	*līnan	l ɛɪ n ( - - )	lɛɪn	lijn	259	Dutch			
946	s k a t a z	*skattaz	s k a t ( a z )	skattaz	*skattaz	260	Proto-Germanic			
947	ʃ a ts	*skattaz	ʃ - a ts ( - - )	ʃat͡s	Schatz	260	German			
948	s x ɑ t	*skattaz	s x ɑ t ( - - )	sxɑt	schat	260	Dutch			
949	θ a k a n	*θakan	θ a k ( a n )	θakan	*θakan	261	Proto-Germanic			
950	d a x	*θakan	d a x ( - - )	dax	Dach	261	German			
951	θ æ ʧ	*θakan	θ æ ʧ ( - - )	θæʧ	thatch	261	English			
952	d ɑ k	*θakan	d ɑ k ( - - )	dɑk	dak	261	Dutch			
953	f u r x oː	*furxō	f u r ( x oː )	furxoː	*furxō	262	Proto-Germanic		C V C C	
954	f ʊ r x ə	*furxō	f ʊ r ( x ə )	fʊrxə	Furche	262	German			
955	f ʌ r əʊ	*furxō	f ʌ r ( əʊ - )	fʌrəʊ	furrow	262	English			
956	v oː r	*furxō	v oː r ( - - )	voːr	voor	262	Dutch			
957	t iː d i z	*tīdiz	t iː d ( i z )	tiːdiz	*tīdiz	263	Proto-Germanic			
958	ts ai t	*tīdiz	ts ai t ( - - )	t͡sait	Zeit	263	German			
959	t aɪ d	*tīdiz	t aɪ d ( - - )	taɪd	tide	263	English			
960	t ɛɪ t	*tīdiz	t ɛɪ t ( - - )	tɛɪt	tijd	263	Dutch			
961	s k e lː i n a z	*skellin)az	s k e lː i n a z	skellinaz	*skellin)az	264	Proto-Germanic			
962	ʃ ɪ l ɪ ŋ	*skellin)az	ʃ - ɪ l ɪ ŋ - ( - - )	ʃɪlɪŋ	Schilling	264	German			
963	ʃ ɪ l ɪ ŋ	*skellin)az	ʃ - ɪ l ɪ ŋ - ( - - )	ʃɪlɪŋ	shilling	264	English			
964	r e nː a n a n	*rennanan	r e nː a n ( a n )	rennanan	*rennanan	265	Proto-Germanic			
965	r ɪ n ə n	*rennanan	r ɪ n ə n ( - - )	rɪnən	rinnen	265	German			
966	r ʌ n	*rennanan	r ʌ n - - ( - - )	rʌn	run	265	English			
967	x a b r oː n	*xabrōn	x a b r oː n	xabroːn	*xabrōn	266	Proto-Germanic			
968	h aː f ə r	*xabrōn	h aː f - ə r	haːfər	Hafer	266	German			
969	h aː v ə r	*xabrōn	h aː v - ə r	haːvər	haver	266	Dutch			
970	f l au x z	*flauxz	f l au x ( z )	flauxz	*flauxz	267	Proto-Germanic		C C V C	
971	f l oː	*flauxz	f l oː - ( - )	floː	Floh	267	German			
972	f l iː	*flauxz	f l iː - ( - )	fliː	flea	267	English			
973	v l oː	*flauxz	v l oː - ( - )	vloː	vlo	267	Dutch			
974	s a p oː n	*sapōn	s a p ( oː n - )	sapoːn	*sapōn	268	Proto-Germanic			
975	z a f t	*sapōn	z a f ( - - t )	zaft	Saft	268	German			
976	s æ p	*sapōn	s æ p ( - - - )	sæp	sap	268	English			
977	s ɑ p	*sapōn	s ɑ p ( - - - )	sɑp	sap	268	Dutch			
978	t i kː oː n	*tikkōn	t i kː ( oː n )	tikkoːn	*tikkōn	269	Proto-Germanic			
979	ts ɛ k ə	*tikkōn	ts ɛ k ( ə - )	t͡sɛkə	Zecke	269	German			
980	t ɪ k	*tikkōn	t ɪ k ( - - )	tɪk	tick	269	English			
981	t eː k	*tikkōn	t eː k ( - - )	teːk	teek	269	Dutch			
982	s w e mː a n a n	*swemmanan	s w e mː a n ( a n )	swemmanan	*swemmanan	270	Proto-Germanic			
983	ʃ v ɪ m ə n	*swemmanan	ʃ v ɪ m ə n ( - - )	ʃvɪmən	schwimmen	270	German			
984	s ʋ ɪ m	*swemmanan	s ʋ ɪ m - - ( - - )	sʋɪm	swim	270	English			
985	z ʋ ɛ m ə	*swemmanan	z ʋ ɛ m ə - ( - - )	zʋɛmə	zwemmen	270	Dutch			
986	m a l t a z	*maltaz	m a l t ( a z )	maltaz	*maltaz	271	Proto-Germanic		C V C C	
987	m a l ts	*maltaz	m a l ts ( - - )	malt͡s	Malz	271	German			
988	m ɔː l t	*maltaz	m ɔː l t ( - - )	mɔːlt	malt	271	English			
989	m ɑu t	*maltaz	m ɑu - t ( - - )	mɑut	mout	271	Dutch			
990	k e w a n a n	*kewwanan	k e w a n ( a n )	kewwanan	*kewwanan	272	Proto-Germanic		C V c v v	
991	k au ə n	*kewwanan	k au - ə n ( - - )	kauən	kauen	272	German			
992	ʧ uː	*kewwanan	ʧ uː - - - ( - - )	ʧuː	chew	272	English			
993	k ɑu ʋ ə	*kewwanan	k ɑu ʋ ə - ( - - )	kɑuʋə	kauwen	272	Dutch			
994	w r e n g a n a n	*wrenganan	w r e n g a n ( a n )	wrenganan	*wrenganan	273	Proto-Germanic			
995	r ɪ ŋ ə n	*wrenganan	- r ɪ ŋ - ə n ( - - )	rɪŋən	ringen	273	German			
996	r ɪ ŋ	*wrenganan	- r ɪ ŋ - - - ( - - )	rɪŋ	wring	273	English			
997	ʋ r ɪ ŋ ə	*wrenganan	ʋ r ɪ ŋ - ə - ( - - )	ʋrɪŋə	wringen	273	Dutch			
998	w a s k a n a n	*waskanan	w a s k a n ( a n )	waskanan	*waskanan	274	Proto-Germanic			
999	v a ʃ ə n	*waskanan	v a ʃ - ə n ( - - )	vaʃən	waschen	274	German			
1000	ʋ ɔ ʃ	*waskanan	ʋ ɔ ʃ - - - ( - - )	ʋɔʃ	wash	274	English			
1001	ʋ ɑ s ə	*waskanan	ʋ ɑ s - ə - ( - - )	ʋɑsə	wassen	274	Dutch			
1002	x a g l a n	*xaglan	x a g - l ( a n )	xaglan	*xaglan	275	Proto-Germanic			
1003	h aː ɡ ə l	*xaglan	h aː ɡ ə l ( - - )	haːɡəl	Hagel	275	German			
1004	h eɪ l	*xaglan	h eɪ - - l ( - - )	heɪl	hail	275	English			
1005	h aː ɣ ə l	*xaglan	h aː ɣ ə l ( - - )	haːɣəl	hagel	275	Dutch			
1006	θ r e n gʷ a n a n	*θrengwanan	θ r e n gʷ a n ( a n )	θrengwanan	*θrengwanan	276	Proto-Germanic			
1007	d r ɪ ŋ ə n	*θrengwanan	d r ɪ ŋ - ə n ( - - )	drɪŋən	dringen	276	German			
1008	d r ɪ ŋ ə	*θrengwanan	d r ɪ ŋ - ə - ( - - )	drɪŋə	dringen	276	Dutch			
1009	u f n a z	*ufnaz	u f - n ( a z )	ufnaz	*ufnaz	277	Proto-Germanic			
1010	oː f ə n	*ufnaz	oː f ə n ( - - )	oːfən	Ofen	277	German			
1011	ʌ v ə n	*ufnaz	ʌ v ə n ( - - )	ʌvṇ	oven	277	English			
1012	oː v ə	*ufnaz	oː v ə - ( - - )	oːvə	oven	277	Dutch			
1013	w a d a n	*wadan	w a d ( a n )	wadan	*wadan	278	Proto-Germanic			
1014	v a t	*wadan	v a t ( - - )	vat	Watt	278	German			
1015	ʋ ɑ t	*wadan	ʋ ɑ t ( - - )	ʋɑt	wad	278	Dutch			
1016	n e f oː d	*nefōd	n e f oː ( d )	nefoːd	*nefōd	279	Proto-Germanic			
1017	n ɛ f ə	*nefōd	n ɛ f ə ( - )	nɛfə	Neffe	279	German			
1018	n eː f	*nefōd	n eː f - ( - )	neːf	neef	279	Dutch			
1019	j eː r a n	*jēran	j eː r ( a n )	jeːran	*jēran	280	Proto-Germanic		C V C	
1020	j aː r	*jēran	j aː r ( - - )	jaːr	Jahr	280	German			
1021	j ɪə r	*jēran	j ɪə r ( - - )	jɪər	year	280	English			
1022	j aː r	*jēran	j aː r ( - - )	jaːr	jaar	280	Dutch			
1023	s p i k a n	*spikan	s p i kk ( a n )	spikan	*spikan	281	Proto-Germanic			
1024	ʃ p ɛ k	*spikan	ʃ p ɛ k ( - - )	ʃpɛk	Speck	281	German	BOR		
1025	s p ɛ k	*spikan	s p ɛ k ( - - )	spɛk	spek	281	Dutch			
1026	f l ai s k a z	*flaiskaz	f l ai s k ( a z )	flaiskaz	*flaiskaz	282	Proto-Germanic		C C V C c v c	
1027	f l ai ʃ	*flaiskaz	f l ai ʃ - ( - - )	flaiʃ	Fleisch	282	German			
1028	f l ɛ ʃ	*flaiskaz	f l ɛ ʃ - ( - - )	flɛʃ	flesh	282	English			
1029	v l eː s	*flaiskaz	v l eː s - ( - - )	vleːs	vlees	282	Dutch			
1030	b uː r a n	*būran	b uː - r ( a n )	buːran	*būran	283	Proto-Germanic		C V - C	
1031	b au ə r	*būran	b au ə r ( - - )	bauər	Bauer	283	German			
1032	b aʊ ə r	*būran	b aʊ ə r ( - - )	baʊər	bower	283	English			
1033	b uː r	*būran	b uː - r ( - - )	buːr	boer	283	Dutch			
1034	b ai n a n	*bainan	b ai n ( a n )	bainan	*bainan	284	Proto-Germanic			
1035	b ai n	*bainan	b ai n ( - - )	bain	Bein	284	German		C V C	
1036	b əʊ n	*bainan	b əʊ n ( - - )	bəʊn	bone	284	English			
1037	b eː n	*bainan	b eː n ( - - )	beːn	been	284	Dutch			
1038	w a k eː n a n	*wakēnan	w a k eː n ( a n )	wakeːnan	*wakēnan	285	Proto-Germanic			
1039	v a x ə n	*wakēnan	v a x ə n ( - - )	vaxən	wachen	285	German			
1040	ʋ eɪ k	*wakēnan	ʋ eɪ k - - ( - - )	ʋeɪk	wake	285	English			
1041	ʋ aː k ə	*wakēnan	ʋ aː k ə - ( - - )	ʋaːkə	waken	285	Dutch			
1042	w eː j a n a n	*wējanan	w eː j a n ( a n )	weːjanan	*wējanan	286	Proto-Germanic			
1043	v eː ə n	*wējanan	v eː - ə n ( - - )	veːən	wehen	286	German			
1044	ʋ aː j ə	*wējanan	ʋ aː j ə - ( - - )	ʋaːjə	waaien	286	Dutch			
1045	l a x s t r a n	*laxstran	l a x s t - r ( a n )	laxstran	*laxstran	287	Proto-Germanic	MT	C V C C C - C	
1046	l a s t ə r	*laxstran	l a - s t ə r ( - - )	lastər	Laster	287	German	MT		
1047	l ɑ s t ə r	*laxstran	l ɑ - s t ə r ( - - )	lɑstər	laster	287	Dutch	MT		
1048	w u n d r a n	*wundran	w u n d - r ( a n )	wundran	*wundran	288	Proto-Germanic	MT		
1049	v ʊ n d ə r	*wundran	v ʊ n d ə r ( - - )	vʊndər	Wunder	288	German	MT		
1050	ʋ ʌ n d ə r	*wundran	ʋ ʌ n d ə r ( - - )	ʋʌndər	wonder	288	English	MT		
1051	ʋ ɔ n d ə r	*wundran	ʋ ɔ n d ə r ( - - )	ʋɔndər	wonder	288	Dutch	MT		
1052	s w e s t eː r	*swestēr	s w e s t eː r	swesteːr	*swestēr	289	Proto-Germanic			
1053	ʃ v ɛ s t ə r	*swestēr	ʃ v ɛ s t ə r	ʃvɛstər	Schwester	289	German			
1054	s ɪ s t ə r	*swestēr	s - ɪ s t ə r	sɪstər	sister	289	English			
1055	z ʉ s t ə r	*swestēr	z - ʉ s t ə r	zʉstər	zuster	289	Dutch			
1056	s n ai gʷ a z	*snaigwaz	s n ai ( gʷ a z )	snaigwaz	*snaigwaz	290	Proto-Germanic			
1057	ʃ n eː	*snaigwaz	ʃ n eː ( - - - )	ʃneː	Schnee	290	German			
1058	s n əʊ	*snaigwaz	s n əʊ ( - - - )	snəʊ	snow	290	English			
1059	s n eː ʋ	*snaigwaz	s n eː ( ʋ - - )	sneːʋ	sneeuw	290	Dutch			
1060	l a k a n a n	*lakanan	l a k a n ( a n )	lakanan	*lakanan	291	Proto-Germanic		C V c v c	
1061	l a x ə n	*lakanan	l a x ə n ( - - )	laxən	lachen	291	German			
1062	l ɑː f	*lakanan	l ɑː f - - ( - - )	lɑːf	laugh	291	English			
1063	l ɑ x ə	*lakanan	l ɑ x ə - ( - - )	lɑxə	lachen	291	Dutch			
1064	m uː l oː n	*mūlōn	m uː l ( oː n )	muːloːn	*mūlōn	292	Proto-Germanic		C V C	
1065	m au l	*mūlōn	m au l ( - - )	maul	Maul	292	German			
1066	m œy l	*mūlōn	m œy l ( - - )	mœyl	muil	292	Dutch			
1067	r e g n a n	*regnan	r e g - n ( a n )	regnan	*regnan	293	Proto-Germanic	MT		
1068	r eː ɡ ə n	*regnan	r eː ɡ ə n ( - - )	reːɡən	Regen	293	German			
1069	r eɪ n	*regnan	r eɪ - - n ( - - )	reɪn	rain	293	English	MT		
1070	r eː ɣ ə	*regnan	r eː ɣ ə - ( - - )	reːɣə	regen	293	Dutch	MT		
1071	x e m e n a z	*xemenaz	x e m e ( n a z )	xemenaz	*xemenaz	294	Proto-Germanic			
1072	h ɪ m ə l	*xemenaz	h ɪ m ə ( l - - )	hɪməl	Himmel	294	German			
1073	h ɛ v ə n	*xemenaz	h ɛ v ə ( n - - )	hɛvṇ	heaven	294	English			
1074	h eː m ə l	*xemenaz	h eː m ə ( l - - )	heːməl	hemel	294	Dutch			
1075	s w iː n a n	*swīnan	s w iː n ( a n )	swiːnan	*swīnan	295	Proto-Germanic			
1076	ʃ v ai n	*swīnan	ʃ v ai n ( - - )	ʃvain	Schwein	295	German			
1077	s ʋ aɪ n	*swīnan	s ʋ aɪ n ( - - )	sʋaɪn	swine	295	English			
1078	z ʋ ɛɪ n	*swīnan	z ʋ ɛɪ n ( - - )	zʋɛɪn	zwijn	295	Dutch			
1079	s k a m oː	*skamō	s k a m ( oː )	skamoː	*skamō	296	Proto-Germanic			
1080	ʃ aː m	*skamō	ʃ - aː m ( - )	ʃaːm	Scham	296	German			
1081	ʃ eɪ m	*skamō	ʃ - eɪ m ( - )	ʃeɪm	shame	296	English			
1082	d ai l i z	*dailiz	d ai l ( i z )	dailiz	*dailiz	297	Proto-Germanic		C V C	
1083	t ai l	*dailiz	t ai l ( - - )	tail	Teil	297	German			
1084	d iː l	*dailiz	d iː l ( - - )	diːl	deal	297	English			
1085	d eː l	*dailiz	d eː l ( - - )	deːl	deel	297	Dutch			
1086	g u l θ a n	*gulθan	g u l θ ( a n )	gulθan	*gulθan	298	Proto-Germanic		C V C C	
1087	ɡ ɔ l t	*gulθan	ɡ ɔ l d ( - - )	ɡɔlt	Gold	298	German			
1088	ɡ əʊ l d	*gulθan	ɡ əʊ l d ( - - )	ɡəʊld	gold	298	English			
1089	x ɑu t	*gulθan	x ɑu - t ( - - )	xɑut	goud	298	Dutch			
1090	k oː w z	*kōwz	k oː ( w z )	koːwz	*kōwz	299	Proto-Germanic		C V	
1091	k uː	*kōwz	k uː ( - - )	kuː	Kuh	299	German			
1092	k aʊ	*kōwz	k aʊ ( - - )	kaʊ	cow	299	English			
1093	k uː	*kōwz	k uː ( - - )	kuː	koe	299	Dutch			
1094	r oː d oː	*rōdō	r oː d oː	roːdoː	*rōdō	300	Proto-Germanic			
1095	r uː t ə	*rōdō	r uː t ə	ruːtə	Rute	300	German			
1096	r uː d	*rōdō	r uː d -	ruːd	rood	300	English			
1097	s u r g oː	*surgō	s u r g oː	surgoː	*surgō	301	Proto-Germanic			
1098	z ɔ r ɡ ə	*surgō	z ɔ r ɡ ə	zɔrɡə	Sorge	301	German			
1099	s ɔ r əʊ	*surgō	s ɔ r əʊ -	sɔrəʊ	sorrow	301	English			
1100	z ɔ r x	*surgō	z ɔ r x -	zɔrx	zorg	301	Dutch			
1101	θ r eː a n a n	*θrēanan	θ r eː - a n ( a n )	θreːanan	*θrēanan	302	Proto-Germanic			
1102	d r eː ə n	*θrēanan	d r eː - ə n ( - - )	dreːən	drehen	302	German			
1103	d r aː j ə	*θrēanan	d r aː j ə - ( - - )	draːjə	draaien	302	Dutch			
1104	w e x t i z	*wextiz	w e x t ( i z )	wextiz	*wextiz	303	Proto-Germanic			
1105	v ɪ x t	*wextiz	v ɪ x t ( - - )	vɪxt	Wicht	303	German			
1106	ʋ aɪ t	*wextiz	ʋ aɪ - t ( - - )	ʋaɪt	wight	303	English			
1107	f l eu g a n a n	*fleuganan	f l eu g a n ( a n )	fleuganan	*fleuganan	304	Proto-Germanic		C C V c v c	
1108	f l iː ɡ ə n	*fleuganan	f l iː ɡ ə n ( - - )	fliːɡən	fliegen	304	German			
1109	f l aɪ	*fleuganan	f l aɪ - - - ( - - )	flaɪ	fly	304	English			
1110	v l iː ɣ ə	*fleuganan	v l iː ɣ ə - ( - - )	vliːɣə	vliegen	304	Dutch			
1111	s e d u z	*seduz	s e d u ( z )	seduz	*seduz	305	Proto-Germanic			
1112	z ɪ t ə	*seduz	z ɪ t ə ( - )	zɪtə	Sitte	305	German			
1113	z eː d ə	*seduz	z eː d ə ( - )	zeːdə	zede	305	Dutch			
1114	s k ai θ i z	*skaiθiz	s k ai θ i ( z )	skaiθiz	*skaiθiz	306	Proto-Germanic			
1115	ʃ ai d ə	*skaiθiz	ʃ - ai d ə ( - )	ʃaidə	Scheide	306	German			
1116	ʃ iː θ	*skaiθiz	ʃ - iː θ - ( - )	ʃiːθ	sheath	306	English			
1117	s x eː d ə	*skaiθiz	s x eː d ə ( - )	sxeːdə	schede	306	Dutch			
1118	w i θ r a	*wiθra	w i θ - r ( a )	wiθra	*wiθra	307	Proto-Germanic			
1119	v ɪ d ə r	*wiθra	v ɪ d ə r ( - )	vɪdər	Widder	307	German			
1120	ʋ ɛ ð ə r	*wiθra	ʋ ɛ ð ə r ( - )	ʋɛðər	wether	307	English			
1121	ʋ eː d ə r	*wiθra	ʋ eː d ə r ( - )	ʋeːdər	weder	307	Dutch			
1122	n e b u l oː	*nebulō	n e b u l ( oː )	nebuloː	*nebulō	308	Proto-Germanic			
1123	n eː b ə l	*nebulō	n eː b ə l ( - )	neːbəl	Nebel	308	German			
1124	n eː v ə l	*nebulō	n eː v ə l ( - )	neːvəl	nevel	308	Dutch			
1125	w u r m a z	*wurmaz/wurmiz	w u r m ( a z )	wurmaz/wurmiz	*wurmaz/wurmiz	309	Proto-Germanic			
1126	v ʊ r m	*wurmaz/wurmiz	v ʊ r m ( - - )	vʊrm	Wurm	309	German			
1127	ʋ ɜː m	*wurmaz/wurmiz	ʋ ɜː - m ( - - )	ʋɜːm	worm	309	English			
1128	ʋ ɔ r m	*wurmaz/wurmiz	ʋ ɔ r m ( - - )	ʋɔrm	worm	309	Dutch			
1129	w a t n a n	*watnan	w a t oː r	watoːr	*watnan	310	Proto-Germanic			
1130	v a s ə r	*watnan	v a s ə r	vasər	Wasser	310	German			
1131	ʋ ɔː t ə r	*watnan	ʋ ɔː t ə r	ʋɔːtər	water	310	English			
1132	ʋ aː t ə r	*watnan	ʋ aː t ə r	ʋaːtər	water	310	Dutch			
1133	b r uː k a n a n	*brūkanan	( - - ) b r uː k a n ( a n )	bruːkanan	*brūkanan	311	Proto-Germanic		C C V c v c	
1134	b r au x ə n	*brūkanan	( - - ) b r au x ə n ( - - )	brauxən	brauchen	311	German			
1135	b r ʊ k	*brūkanan	( - - ) b r ʊ k - - ( - - )	brʊk	brook	311	English			
1136	x ə b r œy k ə	*brūkanan	( x ə ) b r œy k ə - ( - - )	xəbrœykə	gebruiken	311	Dutch			
1137	g e l d a n a n	*geldanan	g e l d a n ( a n )	geldanan	*geldanan	312	Proto-Germanic		C V C c v c	
1138	ɡ ɛ l t ə n	*geldanan	ɡ ɛ l t ə n ( - - )	ɡɛltən	gelten	312	German			
1139	x ɛ l d ə	*geldanan	x ɛ l d ə - ( - - )	xɛldə	gelden	312	Dutch			
1140	x u l oː j a n a n	*xulōjanan	x u l oː j a n ( a n )	xuloːjanan	*xulōjanan	313	Proto-Germanic			
1141	h oː l ə n	*xulōjanan	h oː l - - ə n ( - - )	hoːlən	holen	313	German			
1142	h aː l ə	*xulōjanan	h aː l - - ə - ( - - )	haːlə	halen	313	Dutch			
1143	s l a x a n a n	*slaxanan	s l a x a n ( a n )	slaxanan	*slaxanan	314	Proto-Germanic			
1144	ʃ l aː ɡ ə n	*slaxanan	ʃ l aː ɡ ə n ( - - )	ʃlaːɡən	schlagen	314	German			
1145	s l eɪ	*slaxanan	s l eɪ - - - ( - - )	sleɪ	slay	314	English			
1146	s l aː n	*slaxanan	s l aː - - n ( - - )	slaːn	slaan	314	Dutch			
1147	l u kː a z	*lukkaz	l u kː ( a z )	lukkaz	*lukkaz	315	Proto-Germanic		C V C	
1148	l ɔ k ə	*lukkaz	l ɔ k ( ə - )	lɔkə	Locke	315	German			
1149	l ɔ k	*lukkaz	l ɔ k ( - - )	lɔk	lock	315	English			
1150	l ɔ k	*lukkaz	l ɔ k ( - - )	lɔk	lok	315	Dutch			
